City, Time, Temperature, Condition
Bratislava, 2022-09-20 06:00:00, 9.44, overcast clouds
Bratislava, 2022-09-20 09:00:00, 13.89, broken clouds
Bratislava, 2022-09-20 12:00:00, 17.13, scattered clouds
Bratislava, 2022-09-20 15:00:00, 15.24, overcast clouds
Bratislava, 2022-09-20 18:00:00, 11.56, broken clouds
Bratislava, 2022-09-20 21:00:00, 10.96, broken clouds
Bratislava, 2022-09-21 00:00:00, 9.07, overcast clouds
Bratislava, 2022-09-21 03:00:00, 7.55, light rain
Bratislava, 2022-09-21 06:00:00, 9.43, overcast clouds
Bratislava, 2022-09-21 09:00:00, 13.73, light rain
Bratislava, 2022-09-21 12:00:00, 14.69, light rain
Bratislava, 2022-09-21 15:00:00, 14.31, broken clouds
